Law Id,State,Title,Text,Enacted Date,Amended Date,Recent?,Sequence Number,Type,Agency,Significant Update Date,Expired Date,Archived Date,Repealed Date,Topic,Technology Categories,Incentive Categories,Regulation Categories,User Categories,References
4551,MT,Alternative Fuel Promotion,"The state of Montana encourages the use of alternative fuels and fuel
blends to the extent that doing so produces environmental and economic
benefits to the citizens of Montana. The Montana Legislature recommends
several guidelines for the development of a state alternative fuels
policy, including the following: 1) encourage the use of self-sufficient
markets; 2) any state alternative fuels program should have measurable
benefits and state agencies must communicate these benefits to the
public; 3) state and local governments are encouraged to set an example
with their vehicle fleets by using alternative fuels and fuel blends.
The state also encourages alternative fuel and fuel blend production.
(Reference [Montana Code Annotated](http://leg.mt.gov) 90-4-1011)",,,FALSE,65,Laws and Regulations,,,,2012-07-01 00:00:00 UTC,,,BIOD|ETH|ELEC|HY|NG|PHEV|LPG,,OTHER,OTHER,http://data.opi.mt.gov/bills/mca_toc/index.htm
4600,NM,Alternative Fuel Vehicle (AFV) and Fueling Infrastructure Grants,"The New Mexico Energy, Minerals, and Natural Resources Department
administers the Clean Energy Grants Program, which provides grants for
projects using clean energy technologies, including AFVs and fueling
infrastructure, as well as projects that provide clean energy education,
technical assistance, and training programs. These grants are provided
on a competitive basis to qualifying entities such as municipalities and
county governments, state agencies, state universities, public schools,
post-secondary educational institutions, and Indian nations, tribes, and
pueblos. (Reference New Mexico Statutes 71-7-1)",,,FALSE,25,State Incentives,,2015-04-13 15:43:55 UTC,,2017-03-01 00:00:00 UTC,,,AFTMKTCONV|BIOD|ETH|ELEC|HY|NG|PHEV|LPG,GNT,,STATION|FLEET|OTHER,http://www.nmonesource.com/nmnxtadmin/NMPublic.aspx
4629,NY,Alternative Fuel Vehicle (AFV) Tax Exemption,"New York provides a partial sales and use tax exemption for the
incremental cost of new AFVs and for vehicles that are converted
to run on alternative fuels. This exemption is effective through
October 1, 2006. (Reference New York Tax Law ( http://public.leginfo.state.ny.us/menugetf.cgi ) Article 28,
Section 1115)",,,FALSE,70,Laws and Regulations,,,2006-09-01 00:00:00 UTC,,,,ETH|ELEC|HY|NG|PHEV|LPG,EXEM|TAX,FUEL,FLEET|IND,
4667,OK,Alternative Fuel Vehicle (AFV) Tax Credit,"Prior to January 1, 2009, Oklahoma provides a one-time income tax
credit for 50% of the cost of converting a vehicle to operate on
an alternative fuel, or for 50% of the incremental cost of a new
OEM AFV. The state also provides a tax credit for 10% of the
total vehicle cost, up to $1,500, when an AFV is resold, as long
as a tax credit has not been previously taken on the vehicle.
Additionally, the state provides a tax credit for up to 50% of
the cost of installing refueling infrastructure for AFVs. These
tax credits may be carried forward for up to three years. The
alternative fuels eligible for the credit include compressed
natural gas (CNG), liquefied natural gas (LNG), liquefied
petroleum gas (LPG), ethanol, methanol, and electricity. This tax
credit extends to low-speed electric vehicles as defined by NHTSA
in 49 C.F.R. 571.500 and to forklifts and other similar
self-propelled vehicles. (Reference Oklahoma Statutes ( http://www.lsb.state.ok.us/ ) Section 68-2357.22)",,,FALSE,15,State Incentives,,,2009-01-01 00:00:00 UTC,,,,ETH|ELEC|NG|PHEV|LPG,TAX,,STATION|FLEET|IND,
4668,OK,Alternative Fuel Vehicle (AFV) Low-Interest Loans ,"Oklahoma has a private loan program with a 3% interest rate for the cost
of converting private fleets to operate on alternative fuels and for the
incremental cost of purchasing an original equipment manufacturer AFV.
The loan repayment has a maximum six-year period. For more information,
see the Oklahoma Department of Commerce
[website](http://okcommerce.gov/).",,,FALSE,50,State Incentives,,,,2017-07-01 00:00:00 UTC,,,BIOD|ETH|ELEC|HY|NG|PHEV|LPG,LOANS,,STATION|FLEET,
4683,OR,Alternative Fuel Vehicle (AFV) and Fueling Infrastructure Tax Credit for Businesses,"Business owners and others may be eligible for a tax credit of 50% of
eligible costs for qualified alternative fuel infrastructure projects
through the [Business Energy Tax
Credit](https://www.oregon.gov/energy/Incentives/Pages/Transportation-Tax-Credits.aspx).
Fueling infrastructure for fuels such as propane and natural gas may
qualify for a tax credit of 35% of eligible costs. A tax credit of 35%
of eligible costs is also available for other qualified AFV projects.
The credit is filed over five years. Unused credits from a given year
can be carried forward up to eight years. For projects with eligible
costs of \$20,000 or less, the tax credit may be taken in one year.

An eligible applicant (a project owner) must meet the following
requirements:

-   Be a trade, business, or rental property owner with a business site
    in Oregon or be an Oregon non-profit organization, tribe, or public
    entity that partners with an Oregon business or resident;
-   Own or be the contract buyer of the project; and
-   Use the equipment or lease it to another person or business in
    Oregon.

Non-profit organizations and public entities that do not have an Oregon
tax liability may receive the credit for an eligible project but must
\""pass-through\"" or transfer their project eligibility to a pass-through
partner in exchange for a lump-sum cash payment. The Oregon Department
of Energy (ODOE) determines the rate that is used to calculate the cash
payment. The pass-through option is also available to a project owner
with an Oregon tax liability who chooses to transfer their tax credit.
ODOE must grant preliminary and final certification for a project to be
eligible. The taxpayer must have filed an application for the project
before April 15, 2011, and ODOE must have granted preliminary
certification for the project by July 1, 2011. Projects that began prior
to April 15, 2011, must receive final certification by July 1, 2014.
Projects that began after April 15, 2011, must receive final
certification by July 1, 2013.

(Reference House Bills 3672 and 3606, 2011, and Oregon Revised Statutes
469.185-469.225 and 469.878)",2007-07-31 00:00:00 UTC,2011-08-05 00:00:00 UTC,FALSE,25,State Incentives,,,2011-04-15 00:00:00 UTC,,,,AFTMKTCONV|BIOD|ETH|ELEC|HY|NG|PHEV|LPG,TAX,,STATION|FLEET,http://www.leg.state.or.us/|http://www.leg.state.or.us/ors/home.htm
4703,PA,Alternative Fuel Vehicle (AFV) Rebates,"The Greater Philadelphia Clean Cities Program (GPCCP) has
Congestion Mitigation Air Quality (CMAQ) funding available for
AFV rebates. The Clean Fueled Fleets Grant is designed to offer
up to 72% of the incremental cost of purchasing AFVs. Up to
$4,000 is available for light duty AFVs, up to $7,000 is
available for medium duty AFVs, and up to $10,000 is available
for heavy duty AFVs. Additionally, some of GPCCP's rebates also
cover the costs of installing and purchasing AFV refueling
stations. To qualify for these rebates, applicants must become
members of the GPCCP and complete and sign an application,
agreeing to certain terms and conditions, such as monitoring fuel
use.",,,FALSE,20,State Incentives,,,2005-11-01 00:00:00 UTC,,,,BIOD|ETH|ELEC|HY|NG|PHEV|LPG,RBATE,,STATION|FLEET|IND,
4714,RI,Alternative Fuel Vehicle (AFV) and Fueling Infrastructure Tax Credit,"The Alternative Fueled Vehicle and Filling Station Tax Credit
entitles taxpayers to a tax credit equal to 50% of the capital,
labor, and equipment costs associated with the construction of,
or improvement to, any alternative fuel fueling or recharging
station providing domestically produced alternative fuel or
facilities for recharging electric vehicles. For the purpose of
this tax credit, alternative fuels are defined according to the
Energy Policy Act of 1992 (Public Law 102-486) and include
ethanol fuel and biodiesel produced from feedstocks including
virgin vegetable oil, yellow grease, waste vegetable oil, and
animal fats and tallows. Taxpayers are also entitled to a tax
credit equal to 50% of the incremental cost of purchasing an AFV
or the capital, labor, and equipment cost of converting a motor
vehicle to operate on an alternative fuel. Taxpayers may carry
forward any unused credits or any unused portion of the credit
for up to five years. This incentive is effective until January
1, 2008. (Reference Rhode Island Code ( http://www.rilin.state.ri.us/Statutes/Statutes.html ) 44-39.2-2)",,,FALSE,20,State Incentives,,,2008-01-01 00:00:00 UTC,,,,BIOD|ETH|ELEC|HY|NG|PHEV|LPG,TAX,,STATION|FLEET,
4715,RI,Alternative Fuel Vehicle (AFV) Loans,"The Rhode Island Office of Energy Resources offers loans for up
to five years, with low administrative fees, to state agencies
and municipal governments to cover the incremental cost of
purchasing original equipment manufactured AFVs.",,,FALSE,10,State Incentives,,,2009-04-10 00:00:00 UTC,,,,BIOD|ETH|ELEC|HY|NG|PHEV|LPG,LOANS,,FLEET,
4758,UT,Alternative Fuel and Fuel-Efficient Vehicle Tax Credit,"Through 2016, new electric, natural gas, and propane vehicles registered
in Utah are eligible for an income tax credit of 35% of the vehicle
purchase price, up to \$1,500. Plug-in hybrid electric vehicles (PHEVs)
will be eligible for a tax credit of \$1,000. Leased electric, natural
gas, and propane vehicles are eligible for a tax credit on a prorated
basis up to \$1,500. Leased plug-in hybrid electric vehicles will be
eligible for a prorated tax credit up to \$1,000. For additional
information, including eligible vehicles and restrictions, see the Clean
Fuel Vehicle Tax Credit website. (Reference [House
Bill](http://le.utah.gov/) 87, 2016, and [Utah
Code](http://le.utah.gov/xcode/code.html) 19-1-406, 59-7-605, and
59-10-1009)",,2016-03-29 00:00:00 UTC,FALSE,10,State Incentives,,2016-04-11 21:15:32 UTC,2016-12-31 00:00:00 UTC,,,,AFTMKTCONV|ELEC|EFFEC|NG|PHEV|LPG,TAX,,FLEET|IND,http://le.utah.gov/xcode/code.html|http://le.utah.gov/
4759,UT,Alternative Fuel Vehicle and Fueling Infrastructure Grants and Loans,"The Utah Clean Fuels and Vehicle Technology Grant and Loan Program,
funded through the Clean Fuels and Vehicle Technology Fund, provides
grants and loans to assist businesses and government entities to
include:

-   Up to 50% of the incremental cost of purchasing original equipment
    manufactured clean fuel vehicles,
-   Up to 50% of the cost of converting vehicles to a cleaner burning
    fuel, and
-   The cost of fueling equipment for public/private sector business and
    government vehicles (grants require federal and non-federal matching
    funds).

This program does not support E85 or biodiesel projects. For the purpose
of this program, clean fuels include propane, compressed natural gas,
and electricity. For more information, see the [Utah Clean Fuels
Program](https://air.utah.gov/altfuel/index.php) website.

(Reference [Utah Code](http://le.utah.gov/xcode/code.html) 19-1-401
through 19-1-405)",,2016-03-29 00:00:00 UTC,FALSE,15,State Incentives,,2016-04-11 21:20:27 UTC,,2019-02-01 00:00:00 UTC,,,ELEC|HY|NG|PHEV|LPG,GNT|LOANS,,STATION|FLEET|IND,http://le.utah.gov/xcode/code.html
4764,UT,Provision for Establishment of Alternative Fuel Use Mandate,"The Utah Air Quality Board may require fleets that own 10 or more
vehicles capable of being fueled at a central location to use clean
fuels if such a mandate is necessary to meet national air quality
standards. Clean fuels are defined as propane, compressed natural gas,
and electricity. This program expires July 1, 2019. Additional
restrictions apply. (Reference [Utah
Code](http://le.utah.gov/xcode/code.html) 19-2-105.3 and 63I-1-219)",,,FALSE,62,Laws and Regulations,,,,2019-07-01 00:00:00 UTC,,,BIOD|ETH|ELEC|HY|NG|LPG,,REQ,FLEET|GOV,http://le.utah.gov/xcode/code.html
4813,WV,Alternative Fuel Vehicle (AFV) Tax Credit,"The state of West Virginia offers a tax credit for the
incremental cost of purchasing an Original Equipment Manufacturer
AFV, or for the cost of converting a vehicle to operate on an
alternative fuel. The tax credit became effective on July 1,
1997, for either personal or corporate income tax. The maximum
credit depends on the vehicle type and Gross Vehicle Weight
Rating (GVWR), as shown below, and cannot exceed the incremental
or conversion cost. Eligible alternative fuels include compressed
natural gas (CNG), liquefied natural gas, liquefied petroleum
gas, blends of 85% or more of methanol and ethanol, other
alcohols, alcohol-derived liquids, and electricity. The credit is
taken in three equal increments over three years and expires June
30, 2006.

GVWR/Vehicle Type
Non-Electric
Vehicle Tax Credit
Electric Vehicle
Tax Credit

10,000 pounds (lbs.) or less
$3,750
$4,125

10,000 to 26,000 lbs.
$9,250
$10,175

Trucks or vans over 26,000 lbs.
$50,000
$55,000

Buses seating over 20 adults
$50,000
$55,000

(Reference West Virginia Code ( http://www.legis.state.wv.us/WVCODE/masterfrm3Banner.cfm ) 11-6D)",,,FALSE,10,State Incentives,,,2006-06-30 00:00:00 UTC,,,,ETH|ELEC|NG|PHEV|LPG,TAX,,FLEET|IND,
5092,CT,Alternative Fuel Vehicle (AFV) Tax Credit,"Prior to January 1, 2008, a Corporation Business Tax credit is
available for 10% of the incremental cost of purchasing a new
dedicated compressed natural gas, liquefied natural gas,
liquefied petroleum gas, or electric vehicle. This credit may be
carried forward for up to three years. (Reference Connecticut
General Statutes ( http://www.cga.ct.gov ) 12-217i)",,,FALSE,15,State Incentives,,,2008-01-01 00:00:00 UTC,,,,ELEC|NG|PHEV|LPG,TAX,,FLEET|IND,
5158,VA,Alternative Fuel Job Creation Tax Credit,"Businesses involved in alternative fuel vehicle (AFV) and component
manufacturing, alternative fueling equipment component manufacturing,
AFV conversions, and advanced biofuels production are eligible for a job
creation tax credit of up to \$700 per full-time employee. The credit is
allowed in the taxable year in which the job is created and in each of
the two succeeding years in which the job is continued. Qualified AFVs
include vehicles that operate using natural gas, propane, hydrogen,
electricity, or advanced biofuels. This credit is effective for taxable
years through December 31, 2014. For more information, see the [Virginia
Department of
Taxation](http://www.tax.virginia.gov/site.cfm?alias=TaxCredit#Vehicle_Emissions_Testing_Equipment__Clean_Fuel_Vehicle_and_Certain_Refueling_Property_Credit)
website. (Reference [Virginia Code](http://lis.virginia.gov/000/src.htm)
58.1-439.1)",,2011-03-05 00:00:00 UTC,FALSE,30,State Incentives,,,2014-12-31 00:00:00 UTC,,,,AFTMKTCONV|BIOD|ETH|ELEC|HY|NG|PHEV|LPG,TAX,,AFP|MAN,http://lis.virginia.gov/000/src.htm
5163,UT,High Occupancy Vehicle (HOV) Lane Exemption,"Vehicles with clean fuel license plates are authorized to travel in HOV
lanes regardless of the number of occupants, to the extent authorized or
permitted by federal law or federal regulation. The clean fuel plate
must be purchased from a Utah Motor Vehicles office for a fee of \$15.
Vehicle owners must first obtain a C Plate permit from the Utah
Department of Transportation. To be eligible for a clean fuel license
plate, a vehicle must meet the definition of a clean fuel vehicle as
defined in Utah Code 59-13-102. (Reference [Utah
Code](https://le.utah.gov/xcode/code.html) 41-1a-418, 41-1a-1211,
41-6a-702 and 59-13-102)",,2008-03-17 00:00:00 UTC,FALSE,20,State Incentives,,,2010-12-31 00:00:00 UTC,,,,ELEC|HY|NG|PHEV|LPG,EXEM,,FLEET|IND,http://le.utah.gov/~code/code.htm
5166,KY,Alternative Fuel and Vehicle Promotion,"The Kentucky Department for Energy Development and Independence
(Department) encourages the responsible use of transportation
fuels by supporting academic research, public education, and
collaborative partnerships involving alternative fuels and
alternative fuel vehicles (AFVs). The Department facilitates
projects that promote the use of AFVs and establish alternative
fuel infrastructure in Kentucky. For more information, see the
Department ( http://energy.ky.gov/Pages/default.aspx ) website.",,,FALSE,30,State Incentives,,,,2014-04-01 00:00:00 UTC,,,BIOD|ETH|ELEC|HY|NG|PHEV|LPG,OTHER,,STATION|AFP|PURCH|MAN|FLEET|OTHER,
5180,GA,Zero Emission Vehicle (ZEV) Tax Credit,"An income tax credit is available to individuals who purchase or lease a
new ZEV. The amount of the tax credit is 20% of the vehicle cost, up to
\$5,000. For the purpose of this credit, a ZEV is defined as a motor
vehicle that has zero tailpipe and evaporative emissions, including a
pure electric vehicle. Low-speed vehicles do not qualify for this
credit. Any portion of the credit not used in the year the ZEV is
purchased or leased may be carried over for up to five years. The tax
credit expires July 1, 2015. For more information, see the Georgia
Department of Natural Resources Alternative Fuels and Tax Credits
website. (Reference [House
Bill](http://www.legis.ga.gov/en-US/default.aspx) 170, 2015, and
[Georgia Code](http://www.legis.ga.gov/en-US/default.aspx) 48-7-40.16)",,2015-05-04 00:00:00 UTC,FALSE,15,State Incentives,,2015-10-15 22:21:08 UTC,2015-07-01 00:00:00 UTC,,,,ELEC|PHEV,TAX,,FLEET|IND,http://www.legis.ga.gov/en-US/default.aspx|http://www.legis.ga.gov/en-US/default.aspx
5199,IN,Alternative Fuel Vehicle (AFV) Grants,"The Office of the Lieutenant Governor, Energy Group administers
the AFV Grant Program for projects that involve the purchase of
AFVs, conversion of conventionally fueled vehicles to operate on
alternative fuels, installation of AFV refueling facilities,
purchase and use of renewable transportation fuels, or
combinations of these purposes. AFVs include vehicles capable of
operating on electricity, ethanol, propane, hydrogen and natural
gas, as defined by the Energy Policy Act of 1992 (EPAct). They do
not include hybrid electric vehicles. Grant amounts range from
$2,000 to $50,000 and are determined according to the following
formulas:

* For the purchase of OEM AFVs for which the manufacturer
produces a conventionally fueled equivalent, 80% of the
incremental cost is eligible for funding.
* For the purchase of OEM AFVs for which the manufacturer does
not produce a conventionally fueled equivalent, 30% of the
overall cost of the vehicle is eligible for funding.
* For the conversion of vehicles to run on an alternative fuel,
80% of the cost of conversion is eligible for funding.
* For the purchase and installation of refueling facilities for
an alternative fuel to be used in vehicles, 50% of the facility
cost is eligible for funding.
* For the purchase and use of E85 or biodiesel in blends of 20%
or higher, 50% of the incremental cost is eligible for funding.

Project budgets may include funding from third party sources, but
the applicant itself must directly contribute at least 20% of the
project's total budget. If a grant is awarded, the applicant
will receive funds on a reimbursement basis only. Businesses,
non-profit institutions and units of local government (including
public school systems) are eligible to apply. AFV grants will
not be awarded to fund research projects. Entities that are
required to purchase alternative fuel vehicles under the Energy
Policy Act of 1992 are not eligible for grants under this
program.",,,FALSE,10,State Incentives,,,2006-03-31 00:00:00 UTC,,,,BIOD|ETH|ELEC|HY|NG|PHEV|LPG,GNT,,STATION|PURCH|FLEET|IND,
5206,DC,Funding for NOx Reductions,"The MWCOG administers the Advanced Technology Vehicle Program -
The Clean Alternative, which is funded by the MDOT and offers
flexible incentives to private companies and local governments to
cover the incremental cost of clean-fuel vehicles that reduce NOx
emissions. In order to qualify for these incentives, interested
businesses/organizations must meet certain criteria: the
business/organization must have been in operation at least five
years and have more than 10 vehicles in their fleet (exceptions
may be made); fuel use must be greater than 3,000 gallons, or
more than 45,000 miles traveled per year/per vehicle; the clean
vehicle being introduced should reduce NOx; and the vehicles must
be registered in Maryland and operate in the Washington, DC
metropolitan area or the Baltimore metropolitan area. The exact
amount of financial support is determined on a case-by-case
basis, taking expected emissions benefits and other criteria into
consideration. For more information, please contact Daivamani
(Siva) Sivasailam of MWCOG at (202) 962-3226, via email at
siva@mwcog.org, or visit the Web site at
www.mwcog.org/transportation/activities/clean ( http://www.mwcog.org/transportation/activities/clean ).",,,FALSE,20,State Incentives,,,2005-10-01 00:00:00 UTC,,,,BIOD|ETH|ELEC|HY|NG|PHEV|LPG,GNT,,FLEET,
